producto,categoria,proveedor,precio,costo,stock
Aero Botella,Belleza,Jamundi Market,21.5,14.08,251
Aero Cable,Electronica,Girardot Trade,815.2,518.26,187
Aero Cafetera,Oficina,Zipaquira Supply,60.47,42.59,379
aero cafetera,Oficina,Meta Comerciales,60.47,42.59,492
Aero Camisa,Belleza,Mayoristas del Valle,65.05,41.29,40
Aero Cargador,Deportes,Soledad Retail,256.09,183.59,156
Aero Cargador,Deportes,Cesar Distribuciones,256.09,183.59,14
Aero Carpa,Jardin,Usaquen Market,84.34,57.43,300
Aero Carpeta,Deportes,Arauca Connect,46.63,32.21,64
Aero Cepillo,Deportes,Funza Commodities,117.18,84.9,344
Aero Cereal,Belleza,Fusagasuga Supply,64.08,42.53,326
Aero Chaqueta,Jardin,Bucaramanga Trade,193.67,122.31,8
Aero Chaqueta,Jardin,Funza Commodities,193.67,122.31,343
Aero Chocolate,Ropa,Rionegro Supply,7.76,5.36,128
Aero Chocolate,Ropa,Eje Cafetero SAS,7.76,5.36,491
Aero Cinta,Deportes,Soacha Distribuciones,262.65,180.35,135
Aero Colchoneta,Belleza,Quibdo Market,76.03,50.89,471
Aero Colchoneta,Belleza,Kennedy Market,76.03,50.89,62
Aero Copa,Jardin,Yumbo Logistics,183.42,132.42,138
Aero Copa,Jardin,Duitama Market,183.42,132.42,498
Aero Crema,Jardin,Insumos Cafeteros,163.99,117.57,80
Aero Cuaderno,Hogar,Duitama Market,57.81,43.4,391
Aero Cuaderno,Hogar,Oriente Mercantil,57.81,43.4,162
Aero Cuchillo,Belleza,Arauca Connect,77.82,51.95,418
Aero Cuchillo,Belleza,Huila Distribuciones,77.82,51.95,288
Aero Drone,Oficina,Envigado Supply,28.81,19.29,378
aero estante,Hogar,Bogota Central,210.11,148.21,260
Aero Estante,Hogar,Popayan Logistics,210.11,148.21,489
Aero Extensor,Oficina,Barranquilla Hub,87.81,57.58,230
Aero Galleta,Alimentos,Sucre Supply,23.41,19.46,40
Aero Galleta,Alimentos,Itagui Market,23.41,19.46,27
Aero Gorra,Electronica,Barranquilla Hub,500.88,353.38,134
Aero Gorra,Electronica,Casanare Retail,500.88,353.38,200
Aero Guante,Oficina,Rionegro Supply,65.76,43.55,327
Aero Guitarra,Jardin,Santa Marta Retail,97.32,62.52,267
Aero Guitarra,Jardin,Pasto Proveedores,97.32,62.52,417
Aero Jabon,Belleza,Manizales Market,18.61,10.63,32
Aero Lampara,Hogar,Pereira Proveedores,111.06,85.39,47
aero licuadora,Deportes,Logistica Pacifico,324.64,213.21,406
Aero Licuadora,Deportes,Palmira Traders,324.64,213.21,61
Aero Linterna,Ropa,Soacha Distribuciones,85.53,61.79,215
aero maceta,Ropa,Duitama Market,34.47,18.44,292
Aero Marcador,Ropa,Comercial Caribe,95.71,60.19,98
Aero Mesa,Jardin,Kennedy Market,17.78,11.82,171
Aero Mesa,Jardin,Madrid Supply,17.78,11.82,359
Aero Microfono,Deportes,Altiplano Supply,31.28,23.21,213
Aero Mochila,Electronica,Logistica Pacifico,587.8,417.72,474
Aero Mochila,Electronica,Envigado Supply,587.8,417.72,34
Aero Monitor,Jardin,Itagui Market,96.99,61.89,448
Aero Monitor,Jardin,Cucuta Comercios,96.99,61.89,226
Aero Mouse,Electronica,Bello Traders,105.0,71.95,100
aero mousepad,Hogar,Palmira Traders,187.74,143.71,430
Aero Mousepad,Hogar,Cesar Distribuciones,187.74,143.71,461
Aero Muñeco,Belleza,Cucuta Comercios,80.15,50.59,130
Aero Muñeco,Belleza,Tunja Trade,80.15,50.59,256
Aero Olla,Oficina,Manizales Market,70.46,52.17,4
Aero Pantalon,Alimentos,Villavicencio Hub,12.83,9.77,217
Aero Papel,Hogar,Neiva Express,136.61,108.17,254
Aero Parlante,Deportes,Soacha Distribuciones,178.32,132.96,397
Aero Patin,Jardin,Jamundi Market,106.01,76.11,358
Aero Patin,Jardin,Guajira Logistics,106.01,76.11,282
Aero Pegante,Electronica,Santander Mayorista,409.33,326.01,392
aero pegante,Electronica,Engativa Traders,409.33,326.01,206
Aero Pelota,Ropa,Tolima Proveedores,35.79,22.25,14
Aero Pelota,Ropa,Quibdo Market,35.79,22.25,345
aero perfume,Belleza,Pereira Proveedores,23.05,15.06,41
Aero Perfume,Belleza,Riohacha Trade,23.05,15.06,379
Aero Plancha,Jardin,Bucaramanga Trade,141.52,92.69,460
Aero Plato,Deportes,Paisa Import,144.32,108.34,178
Aero PowerBank,Hogar,Madrid Supply,131.29,101.49,62
Aero ProtectorSolar,Deportes,Palmira Traders,220.25,150.97,351
Aero Raqueta,Alimentos,Insumos Cafeteros,1.79,1.54,230
Aero Raqueta,Alimentos,Monteria Retail,1.79,1.54,240
Aero Regla,Ropa,Santander Mayorista,24.27,15.1,51
Aero Resaltador,Ropa,Cota Proveedores,13.37,9.19,95
Aero Rompecabezas,Ropa,Fusagasuga Supply,67.52,43.75,387
Aero Router,Electronica,Sucre Supply,795.07,533.18,221
Aero Sacapuntas,Belleza,Comercial Caribe,88.43,56.99,484
Aero Sarten,Juguetes,Riohacha Trade,138.96,104.74,406
Aero Sarten,Juguetes,Chia Market,138.96,104.74,230
Aero Semilla,Alimentos,Quibdo Market,20.8,15.42,236
Aero Shampoo,Ropa,Kennedy Market,83.12,51.74,142
Aero Shampoo,Ropa,Cajica Traders,83.12,51.74,170
Aero Silla,Ropa,Logistica Pacifico,89.3,59.31,28
Aero Switch,Juguetes,Armenia Supply,94.28,73.6,35
Aero Talonario,Alimentos,Usaquen Market,12.07,10.25,12
Aero Tambor,Deportes,Jamundi Market,210.32,134.5,159
Aero Teclado,Alimentos,Madrid Supply,27.12,20.84,326
Aero Teclado,Alimentos,Casanare Retail,27.12,20.84,186
Aero Telefono,Ropa,Eje Cafetero SAS,67.91,40.69,242
Aero Telefono,Ropa,Popayan Logistics,67.91,40.69,85
Aero Tenedor,Electronica,La Estrella Supply,752.56,532.76,283
Aero Termo,Hogar,Altiplano Supply,37.35,27.71,65
Aero Termo,Hogar,Soacha Distribuciones,37.35,27.71,169
aero tijera,Oficina,Manizales Market,116.63,74.82,44
Aero Tijera,Oficina,Distribuciones Andina,116.63,74.82,61
Aero Toalla,Alimentos,Quibdo Market,16.81,13.53,440
Aero Toalla,Alimentos,Riohacha Trade,16.81,13.53,500
Aero Tripode,Electronica,Palmira Traders,594.86,433.7,133
Aero Webcam,Juguetes,Mosquera Logistics,136.19,95.8,283
Aero Webcam,Juguetes,Oriente Mercantil,136.19,95.8,27
Aero Zapatilla,Hogar,Guajira Logistics,111.4,90.84,107
Alpha Afeitadora,Deportes,Soledad Retail,281.54,228.24,43
Alpha Agenda,Oficina,Quibdo Market,48.42,37.96,339
Alpha Agenda,Oficina,Yumbo Logistics,48.42,37.96,285
Alpha Archivador,Electronica,Atlantico Pro,458.81,367.89,445
Alpha Auriculares,Electronica,Tolima Proveedores,328.58,256.27,330
Alpha Balanza,Jardin,Atlantico Pro,80.61,64.87,127
Alpha Balon,Alimentos,Tunja Retail,20.19,16.64,347
Alpha Balon,Alimentos,Altiplano Supply,20.19,16.64,472
Alpha Biberon,Oficina,Ipiales Trade,52.87,39.27,230
Alpha Bicicleta,Belleza,Dosquebradas Traders,99.9,59.53,189
Alpha Boligrafo,Deportes,Guajira Logistics,163.46,108.0,224
Alpha Botella,Juguetes,Meta Comerciales,38.37,25.55,384
Alpha Cable,Juguetes,Palmira Traders,47.44,34.18,376
Alpha Cafetera,Jardin,Palmira Traders,159.68,117.48,282
Alpha Cafetera,Jardin,Mayoristas del Valle,159.68,117.48,445
Alpha Camisa,Ropa,Cajica Traders,117.2,69.12,120
Alpha Cargador,Deportes,Leticia Traders,171.77,116.08,115
Alpha Cargador,Deportes,Cali Express,171.77,116.08,460
Alpha Carpa,Ropa,Casanare Retail,20.09,12.52,232
Alpha Carpa,Ropa,Guajira Logistics,20.09,12.52,258
Alpha Carpeta,Jardin,Manizales Market,175.38,121.32,358
Alpha Carpeta,Jardin,Leticia Traders,175.38,121.32,197
alpha cepillo,Electronica,Soacha Distribuciones,219.49,138.41,455
Alpha Cepillo,Electronica,Candelaria Market,219.49,138.41,410
Alpha Cereal,Electronica,Putumayo Goods,753.03,492.4,136
Alpha Chaqueta,Juguetes,Cucuta Comercios,161.18,111.47,317
Alpha Chocolate,Hogar,Jamundi Market,75.66,59.99,164
Alpha Cinta,Electronica,Comercial Caribe,705.12,448.47,224
Alpha Cinta,Electronica,Paisa Import,705.12,448.47,306
Alpha Colchoneta,Alimentos,Mosquera Logistics,20.15,15.74,233
Alpha Copa,Electronica,Itagui Market,871.23,570.14,171
Alpha Copa,Electronica,Villavicencio Hub,871.23,570.14,151
Alpha Crema,Juguetes,Kennedy Market,74.39,55.48,462
Alpha Cuaderno,Oficina,Soledad Retail,32.97,27.17,314
Alpha Cuchillo,Oficina,Yumbo Logistics,61.26,47.39,373
Alpha Drone,Ropa,Cartagena Hub,84.21,55.55,159
Alpha Estante,Electronica,Cucuta Comercios,724.31,586.61,95
Alpha Estante,Electronica,Jamundi Market,724.31,586.61,471
Alpha Extensor,Belleza,Pasto Proveedores,78.14,47.44,232
Alpha Galleta,Alimentos,Zipaquira Supply,12.88,10.73,179
Alpha Gorra,Electronica,Bello Traders,558.87,455.31,112
Alpha Guante,Hogar,Valledupar Traders,156.51,114.42,317
Alpha Guante,Hogar,Soledad Retail,156.51,114.42,496
Alpha Guitarra,Oficina,Comercial Caribe,110.51,82.52,441
Alpha Guitarra,Oficina,Eje Cafetero SAS,110.51,82.52,51
Alpha Jabon,Belleza,Madrid Supply,32.98,15.9,267
Alpha Lampara,Juguetes,Distribuciones Andina,168.85,111.92,294
Alpha Licuadora,Belleza,Soacha Distribuciones,22.77,12.98,385
Alpha Licuadora,Belleza,Arauca Connect,22.77,12.98,386
Alpha Linterna,Oficina,Palmira Traders,11.03,8.37,112
Alpha Maceta,Hogar,Eje Cafetero SAS,233.6,162.56,100
Alpha Marcador,Oficina,Pereira Proveedores,105.19,73.56,112
Alpha Marcador,Oficina,Usaquen Market,105.19,73.56,439
Alpha Mesa,Juguetes,Villavicencio Hub,174.55,116.1,80
Alpha Microfono,Deportes,Meta Comerciales,303.13,191.31,186
Alpha Mochila,Juguetes,Guajira Logistics,137.86,83.38,112
Alpha Mochila,Juguetes,Santa Marta Retail,137.86,83.38,1
Alpha Monitor,Electronica,Logistica Pacifico,410.59,315.08,129
Alpha Mouse,Alimentos,Magdalena Supply,22.67,16.21,219
Alpha Mousepad,Deportes,Valledupar Traders,275.23,201.64,53
Alpha Mousepad,Deportes,Monteria Retail,275.23,201.64,342
Alpha Muñeco,Jardin,Chia Market,96.77,80.38,484
Alpha Olla,Belleza,Guajira Logistics,25.13,17.15,223
Alpha Olla,Belleza,Putumayo Goods,25.13,17.15,224
Alpha Pantalon,Jardin,Comercial Caribe,26.65,16.95,384
alpha pantalon,Jardin,Candelaria Market,26.65,16.95,402
Alpha Papel,Juguetes,Pereira Proveedores,55.42,41.1,125
Alpha Papel,Juguetes,Engativa Traders,55.42,41.1,129
Alpha Parlante,Belleza,Dosquebradas Traders,25.8,13.42,52
Alpha Patin,Deportes,Ibague Market,164.8,128.76,171
Alpha Pegante,Deportes,Meta Comerciales,281.17,219.2,217
Alpha Pelota,Deportes,Pereira Proveedores,322.34,210.06,159
Alpha Pelota,Deportes,Cartagena Hub,322.34,210.06,197
alpha perfume,Jardin,Comercial Caribe,35.37,28.46,415
Alpha Plancha,Hogar,Bucaramanga Trade,186.71,138.4,246
Alpha Plato,Electronica,Fusagasuga Supply,666.26,470.33,323
Alpha PowerBank,Electronica,Cucuta Comercios,696.37,516.41,438
Alpha PowerBank,Electronica,Arauca Connect,696.37,516.41,202
Alpha ProtectorSolar,Jardin,Tolima Proveedores,122.59,76.9,183
Alpha ProtectorSolar,Jardin,Jamundi Market,122.59,76.9,122
Alpha Raqueta,Belleza,Funza Commodities,64.72,30.98,400
Alpha Regla,Oficina,Suba Supply,34.36,26.66,254
Alpha Regla,Oficina,Soledad Retail,34.36,26.66,293
Alpha Resaltador,Ropa,Santa Marta Retail,16.12,9.06,279
Alpha Resaltador,Ropa,Sucre Supply,16.12,9.06,324
Alpha Rompecabezas,Juguetes,Dosquebradas Traders,142.98,113.06,371
Alpha Router,Jardin,Mayoristas del Valle,92.45,62.7,97
Alpha Router,Jardin,Popayan Logistics,92.45,62.7,197
Alpha Sacapuntas,Ropa,Tunja Trade,53.91,39.29,469
Alpha Sarten,Oficina,Distribuciones Andina,62.7,42.49,394
Alpha Sarten,Oficina,Bello Traders,62.7,42.49,239
Alpha Semilla,Electronica,Ipiales Trade,568.77,420.76,143
Alpha Shampoo,Hogar,Kennedy Market,95.81,71.83,96
Alpha Silla,Belleza,Rionegro Supply,21.65,13.67,200
Alpha Silla,Belleza,Suba Supply,21.65,13.67,123
Alpha Switch,Belleza,Riohacha Trade,54.64,29.87,186
Alpha Talonario,Jardin,Oriente Mercantil,44.48,32.48,325
Alpha Tambor,Alimentos,Kennedy Market,22.15,17.82,463
Alpha Teclado,Alimentos,Putumayo Goods,9.21,7.71,348
Alpha Telefono,Ropa,Santa Marta Retail,134.28,78.45,258
Alpha Telefono,Ropa,Fusagasuga Supply,134.28,78.45,147
Alpha Tenedor,Hogar,Neiva Express,204.44,146.95,251
Alpha Termo,Oficina,Rionegro Supply,54.15,40.04,442
Alpha Tijera,Ropa,Logistica Pacifico,113.3,65.0,419
Alpha Tijera,Ropa,Bucaramanga Trade,113.3,65.0,402
Alpha Toalla,Juguetes,Cali Express,129.82,97.65,345
Alpha Tripode,Juguetes,Cajica Traders,33.8,20.46,450
Alpha Webcam,Oficina,Eje Cafetero SAS,64.97,48.99,146
Alpha Webcam,Oficina,Yopal Supply,64.97,48.99,147
alpha zapatilla,Juguetes,Sucre Supply,59.37,39.5,351
Alpha Zapatilla,Juguetes,Dosquebradas Traders,59.37,39.5,198
Andes Afeitadora,Electronica,Yumbo Logistics,397.28,269.12,307
Andes Afeitadora,Electronica,Quibdo Market,397.28,269.12,488
Andes Agenda,Electronica,Sincelejo Market,219.35,168.51,416
Andes Agenda,Electronica,Itagui Market,219.35,168.51,423
Andes Archivador,Hogar,Putumayo Goods,119.38,95.47,127
Andes Auriculares,Jardin,Barranquilla Hub,82.36,57.88,38
Andes Auriculares,Jardin,Cartagena Hub,82.36,57.88,337
Andes Balanza,Belleza,Tolima Proveedores,38.19,22.62,359
Andes Balon,Jardin,Casanare Retail,207.51,130.9,128
Andes Biberon,Deportes,Soacha Distribuciones,215.49,147.6,266
Andes Biberon,Deportes,Sabaneta Supply,215.49,147.6,475
Andes Bicicleta,Oficina,Comercial Caribe,26.25,17.36,440
Andes Bicicleta,Oficina,Cota Proveedores,26.25,17.36,472
andes boligrafo,Jardin,Bogota Central,74.15,52.81,433
Andes Botella,Juguetes,Santander Mayorista,152.54,107.31,150
Andes Botella,Juguetes,Sabaneta Supply,152.54,107.31,414
Andes Cable,Belleza,Guajira Logistics,60.91,29.43,477
Andes Cable,Belleza,Armenia Supply,60.91,29.43,297
Andes Cafetera,Ropa,Tunja Retail,98.5,53.04,98
Andes Cafetera,Ropa,Ipiales Trade,98.5,53.04,262
Andes Camisa,Alimentos,Chia Market,20.88,16.15,251
Andes Camisa,Alimentos,Bucaramanga Trade,20.88,16.15,143
Andes Cargador,Hogar,Villavicencio Hub,31.36,25.03,345
Andes Carpa,Jardin,Chia Market,67.97,51.63,111
Andes Carpeta,Belleza,Leticia Traders,62.9,37.51,499
Andes Cepillo,Juguetes,Monteria Retail,158.56,94.81,59
Andes Cereal,Oficina,Neiva Express,118.77,86.97,368
Andes Cereal,Oficina,Suba Supply,118.77,86.97,1
Andes Chaqueta,Ropa,Kennedy Market,94.97,69.07,384
Andes Chocolate,Deportes,Guajira Logistics,265.13,168.21,303
Andes Chocolate,Deportes,Huila Distribuciones,265.13,168.21,253
Andes Cinta,Hogar,Envigado Supply,63.47,50.01,139
Andes Cinta,Hogar,Monteria Retail,63.47,50.01,452
Andes Colchoneta,Hogar,Sabaneta Supply,31.27,22.12,36
Andes Copa,Oficina,Distribuciones Andina,10.17,6.74,159
Andes Copa,Oficina,Soacha Distribuciones,10.17,6.74,8
Andes Crema,Oficina,La Estrella Supply,85.49,69.32,232
Andes Cuaderno,Belleza,Dosquebradas Traders,55.78,38.23,98
Andes Cuchillo,Alimentos,Cucuta Comercios,10.2,8.42,146
Andes Cuchillo,Alimentos,Eje Cafetero SAS,10.2,8.42,303
Andes Drone,Belleza,Engativa Traders,42.06,28.26,207
Andes Drone,Belleza,Cajica Traders,42.06,28.26,130
Andes Estante,Oficina,Chia Market,91.81,75.79,403
Andes Extensor,Jardin,Bello Traders,172.76,129.89,151
Andes Galleta,Juguetes,Manizales Market,96.43,58.73,53
Andes Galleta,Juguetes,Ipiales Trade,96.43,58.73,119
Andes Gorra,Belleza,Paisa Import,51.22,34.27,160
Andes Gorra,Belleza,Barranquilla Hub,51.22,34.27,407
Andes Guante,Oficina,Guajira Logistics,25.3,17.58,115
Andes Guitarra,Alimentos,Girardot Trade,17.76,13.56,74
Andes Guitarra,Alimentos,Comercial Caribe,17.76,13.56,112
Andes Jabon,Belleza,Ipiales Trade,95.21,54.81,455
Andes Jabon,Belleza,Cucuta Comercios,95.21,54.81,419
Andes Lampara,Deportes,Distribuciones Andina,279.12,202.74,421
Andes Lampara,Deportes,Nariño Trade,279.12,202.74,103
Andes Licuadora,Jardin,Huila Distribuciones,82.5,65.36,339
Andes Licuadora,Jardin,Villavicencio Hub,82.5,65.36,253
Andes Linterna,Electronica,Bogota Central,76.38,50.05,226
Andes Maceta,Ropa,Yopal Supply,48.69,30.79,111
Andes Maceta,Ropa,Cota Proveedores,48.69,30.79,472
Andes Marcador,Electronica,Santander Mayorista,598.2,428.27,98
Andes Marcador,Electronica,Tolima Proveedores,598.2,428.27,152
Andes Mesa,Juguetes,Zipaquira Supply,62.92,39.46,348
Andes Microfono,Belleza,Ibague Market,72.5,37.03,401
Andes Mochila,Oficina,Cartagena Hub,47.6,34.88,383
Andes Monitor,Oficina,Nariño Trade,52.61,40.47,365
Andes Mouse,Alimentos,Kennedy Market,25.16,20.88,337
Andes Mouse,Alimentos,Mosquera Logistics,25.16,20.88,193
Andes Mousepad,Hogar,Sucre Supply,110.25,90.23,309
Andes Muñeco,Belleza,Cartagena Hub,36.92,19.23,162
Andes Muñeco,Belleza,Itagui Market,36.92,19.23,207
Andes Olla,Belleza,Logistica Pacifico,53.01,26.54,444
Andes Olla,Belleza,Armenia Supply,53.01,26.54,168
Andes Pantalon,Ropa,Madrid Supply,20.83,15.25,483
Andes Papel,Juguetes,Meta Comerciales,104.36,76.04,160
Andes Parlante,Juguetes,Sabaneta Supply,33.48,26.6,67
Andes Parlante,Juguetes,Mosquera Logistics,33.48,26.6,288
Andes Patin,Electronica,Sabaneta Supply,705.17,583.34,397
Andes Pegante,Hogar,Soledad Retail,75.53,63.6,276
Andes Pelota,Juguetes,Zipaquira Supply,120.06,88.62,303
Andes Perfume,Ropa,Cajica Traders,8.72,6.1,403
Andes Plancha,Alimentos,Kennedy Market,11.45,8.48,383
andes plato,Jardin,Palmira Traders,110.36,72.77,391
Andes PowerBank,Jardin,Sabaneta Supply,26.33,17.55,134
Andes ProtectorSolar,Ropa,Cota Proveedores,16.24,9.2,194
Andes ProtectorSolar,Ropa,Fusagasuga Supply,16.24,9.2,400
Andes Raqueta,Hogar,Sincelejo Market,136.36,113.21,127
Andes Raqueta,Hogar,Putumayo Goods,136.36,113.21,32
Andes Regla,Belleza,Duitama Market,98.16,49.58,175
Andes Resaltador,Hogar,Riohacha Trade,266.29,195.17,459
Andes Rompecabezas,Alimentos,Funza Commodities,24.6,19.51,442
Andes Router,Electronica,Valledupar Traders,238.39,159.55,370
Andes Sacapuntas,Hogar,Suba Supply,157.49,109.02,469
Andes Sarten,Juguetes,Madrid Supply,83.71,49.75,374
Andes Sarten,Juguetes,Insumos Cafeteros,83.71,49.75,21
Andes Semilla,Jardin,Ipiales Trade,43.01,28.84,237
Andes Semilla,Jardin,Magdalena Supply,43.01,28.84,157
Andes Shampoo,Oficina,Zipaquira Supply,62.26,47.84,37
Andes Shampoo,Oficina,Girardot Trade,62.26,47.84,229
